Nhân vật,Năm,Sự kiện
Jigme Singye Wangchuck,1955,"Nhà vua, khi ấy còn là vương tử Jigme Singye, được sinh vào ngày 11 tháng 11 năm 1955 tại cung điện Dechencholing, thành phố Thimphu, Bhutan."
Jigme Singye Wangchuck,1959,"Năm 4 tuổi, vào khoảng năm 1959, Thái tử Jigme Singye lần đầu tiên nhận được những lời chúc tốt đẹp và sự kính trọng từ quần chúng, tăng ni và quan chức tại cung điện Tashichho Dzong."
Jigme Singye Wangchuck,1961,"Nhà vua được giáo dục trong cung Dechencholing từ năm 6 tuổi (1961), sau một thời gian ông theo học tại trường Thánh Giusê, thành phố Darjeeling, Ấn Độ."
Jigme Singye Wangchuck,1964,"Năm 1964 ông học tại trường nam sinh nội trú Heatherdown, Anh Quốc và hoàn thành vào năm 1969."
Jigme Singye Wangchuck,1970,"Trong giai đoạn tiếp theo ông tiếp tục được giáo dục tại cung điện Namselling trước khi nhập học tại Học viện Ugyen Wangchuck (thành lập năm 1970), thuộc Satsham Choten, thành phố Paro, Bhutan."
Jigme Singye Wangchuck,1971,"Năm 1971, vua Jigme Dorji đã bổ nhiệm bổ nhiệm ông - khi đó đương là thái tử Bhutan - làm Chủ tịch Ủy ban Kế hoạch Quốc gia, chịu trách nhiệm lập và tổ chức thực hiện kế hoạch phát triển năm năm."
Jigme Singye Wangchuck,1972,"Ngày 16 tháng 6 năm 1972, ông được phong tước Tổng đốc Trongsa, trở thành Tổng đốc Trongsa thứ 15 của Bhutan."
Jigme Singye Wangchuck,1972,Kế hoạch phát triển năm năm lần thứ ba - kéo dài từ năm 1972 đến năm 1977 - đã chứng kiến sự kiện đức vua Jigme Dorji băng hà.
Jigme Singye Wangchuck,1985,"Trong thời trị vì của ông, Wangchuck đã tiếp đón nhiều chính khách nước ngoài cao cấp đến Bhutan bao gồm các Thủ tướng khác nhau của Ấn Độ; Chủ tịch PLO Yasser Arafat năm 1985; Thái tử Naruhito của Nhật Bản năm 1987; Công chúa Galyani Vadhana của Thái Lan; các Vua Birendra và Nữ hoàng Aishwarya của Nepal; Tổng thống Muhammad Ershad của Bangladesh vào năm 1988; Tổng Thư ký Liên hợp quốc Javier Pérez de Cuéllar vào năm 1989; ng  Maumoon Abdul Gayoom của Maldives; hoàng tử Vajiralongkorn của Thái Lan vào năm 1991; Tổng thống Ranasinghe Premadasa của Sri Lanka năm 1992; Thủ tướng Khaleda Zia của Bangladesh; Vua Carl XVI Gustaf và Nữ hoàng Silvia của Thụy Điển năm 1994; Bộ trưởng Ngoại giao Ấn Độ, IK Gujral năm 1996; Phó Thủ tướng Úc Tim Fischer và Hoàng tử, công chúa Akishino của Nhật Bản đã đến thăm Bhutan vào năm 1997; Thái tử Charles của xứ Wales và cựu Thủ tướng Nhật Bản, Toshiki Kaifu và Chủ tịch SAARC, Tổng thống Maumoon Abdul Gayoom của Maldives đến Bhutan vào năm 1998."
Jigme Singye Wangchuck,1988,Lễ cưới hoàng gia của nhà vua được tổ chức công khai tại đền Dechog Lhakhang thuộc cung điện Punakha Dzong vào ngày 31 tháng 10 năm 1988.
